1,1308176931,우광개발주식회사,임태권,108,200,87.850,01 13,2018/03/29 12:59:43, ,
2,1248144924,(주)성철환경개발,김경옥,108,260,87.899,15 07,2018/03/26 08:59:17, ,
3,1238132973,세창환경건설(주),최기식,108,282,87.916,12 10,2018/03/29 09:48:22, ,
4,1278173715,(주)홍명산업,홍기영,108,308,87.938,12 06,2018/03/29 09:44:57, ,
5,1248127264,백상기업주식회사,민병곤,108,379,87.995,12 05,2018/03/28 17:32:39, ,
6,1278149267,주식회사 대아산업개발,신은식,108,570,88.150,14 09,2018/03/28 14:17:46, ,
7,4428700791,더블유아이케이경기 주식회사,최창환,108,573,88.153,07 11,2018/03/28 17:35:08, ,
8,1278123476,주식회사 베르원,이기호,108,587,88.164,08 15,2018/03/29 09:36:02, ,
9,1328112869,(주)한진산업,김상현,108,818,88.352,02 15,2018/03/28 16:51:17, ,
10,1278173184,주식회사 청명산업,우영희,108,832,88.363,11 06,2018/03/28 15:10:02, ,
11,1358119949,광일토건환경(주),박노일,108,882,88.404,04 14,2018/03/29 09:51:13, ,
12,1248147334,고려개발(주),최경숙,108,922,88.436,01 05,2018/03/29 06:08:14, ,
13,1288127761,(주)대길이에스,김문회,108,968,88.473,14 02,2018/03/28 10:18:24, ,
14,1258141328,동부이엔티 주식회사,허진원,108,980,88.483,15 05,2018/03/29 09:23:47, ,
15,1328166098,주식회사 도성환경개발,윤훈철,109,000,88.499,11 14,2018/03/29 09:04:51, ,
15,1278120412,주식회사 수도환경,김창순,109,000,88.499,09 03,2018/03/29 09:45:16, ,
17,1248143871,늘푸른산업(주),주원기,109,080,88.564,12 03,2018/03/29 08:14:44, ,
18,1278167251,유한회사 도성개발,윤칠중,109,140,88.613,11 13,2018/03/29 09:08:23, ,
19,1328113382,(주)원보,유길문,109,190,88.654,07 13,2018/03/28 14:42:29, ,
20,1218182555,주식회사 한강이앰피,정승훈,109,200,88.662,06 09,2018/03/29 09:15:19, ,
21,1248190239,삼흥산업개발(주),염태욱,109,300,88.743,12 07,2018/03/27 12:01:28, ,
22,1278134648,(주)건용환경개발,김영철,109,352,88.785,12 13,2018/03/29 09:00:12, ,
23,1268141511,하나케이주식회사,원용한,109,355,88.788,03 06,2018/03/29 09:25:55, ,
24,1268128804,현대환경(주),고광만,109,373,88.802,15 04,2018/03/23 15:25:58, ,
25,1328158322,(주)금왕산업개발,강수영,109,382,88.810,09 08,2018/03/28 20:16:37, ,
26,1258117191,미래환경(주),오성은,109,400,88.824,13 14,2018/03/29 09:00:43, ,
26,1278122201,산양환경산업 주식회사,장택무,109,400,88.824,15 11,2018/03/29 09:42:06, ,
28,1328112947,(주)동보이앤시,김지환,109,409,88.832,13 03,2018/03/28 17:56:43, ,
29,1268131255,금강환경산업(주),박기선,109,450,88.865,10 14,2018/03/29 09:54:42, ,
30,1248608957,삼원환경 주식회사,이명욱,109,600,88.987,07 04,2018/03/29 11:02:40, ,
30,1248636676,청한공영(주),서종근,109,600,88.987,01 03,2018/03/29 09:21:30, ,
32,1358169717,(주)지솔알이에이치,유재원,109,669,89.043,12 09,2018/03/28 14:26:53, ,
33,1258119068,(주)우성산업개발,조진숙,109,699,89.067,15 11,2018/03/28 14:21:08, ,
34,1278120993,신잔토개발 주식회사,구경신,109,700,89.068,08 10,2018/03/26 08:44:21, ,
35,1258172457,동우이엔이주식회사,김선경,109,770,89.125,11 04,2018/03/26 11:33:08, ,
36,1358116715,주식회사 대주개발,박성오,109,880,89.214,15 06,2018/03/29 08:41:03, ,
37,1328131532,(주)오성개발,정유진,110,000,89.311,08 12,2018/03/28 10:35:05, ,
37,1358118877,주식회사 조광환경산업개발,조만기,110,000,89.311,03 09,2018/03/29 09:00:26, ,
,1258152882,광일환경 주식회사,김명환,107,780,87.509,04 12,2018/03/29 10:47:11,낙찰하한선 미달,
,1248169018,(주)진흥중공업,박찬양,108,000,87.688,12 15,2018/03/28 12:02:48,낙찰하한선 미달,
,1278167983,중동환경 주식회사,이병득,108,000,87.688,01 13,2018/03/25 18:18:57,낙찰하한선 미달,
,1248125854,(주)오성개발,최종민,108,009,87.695,04 09,2018/03/28 15:50:13,낙찰하한선 미달,
,1268157518,(주)삼성환경개발,이호찬,109,320,000,999.999,12 05,2018/03/28 15:09:39,예가초과,
