1,1328166098,주식회사 도성환경개발,윤훈철,43,997,000,88.104,12 02,2018/03/27 09:28:55, ,
2,1278167251,유한회사 도성개발,윤칠중,44,106,000,88.322,07 10,2018/03/27 09:29:48, ,
3,1288127761,(주)대길이에스,김문회,44,112,000,88.334,09 05,2018/03/26 17:32:29, ,
4,2108122819,(주) 강북공영,안동인,44,198,000,88.506,04 12,2018/03/26 09:17:09, ,
,1308176931,우광개발주식회사,임태권,43,597,100,87.303,12 03,2018/03/27 10:56:52,낙찰하한선 미달,
,1278171003,(주)씨.에스,최상준,43,795,000,87.699,08 04,2018/03/26 19:27:20,낙찰하한선 미달,
,1278146412,금강도시환경(주),이상훈,43,845,000,87.799,02 14,2018/03/27 09:49:06,낙찰하한선 미달,
