1,4128130180,(주)공간정보,김석구,55,061,000,87.999,04 06,2018/03/27 09:36:06, ,
2,4170934749,해양항만연구소,조영준,55,068,000,88.011,02 10,2018/03/27 17:01:40, ,
3,4178134051,주식회사해양수산연구개발,박종식,55,104,000,88.068,01 13,2018/03/28 09:11:07, ,
4,4178136909,주식회사 오션,이경희,55,232,000,88.273,05 04,2018/03/28 08:51:39, ,
,4098135758,(주)한솔이엔씨,박상욱,54,572,000,87.218,11 03,2018/03/28 09:09:36,낙찰하한선 미달,
,4108189763,주식회사 오션그래픽,이상현,54,698,000,87.419,13 10,2018/03/26 15:05:18,낙찰하한선 미달,
,4118161429,(주)연안관리기술연구소,류상옥,54,798,000,87.579,02 11,2018/03/27 17:51:38,낙찰하한선 미달,
,5088600283,유한회사 해양생태과학기술,지성,54,800,280,87.583,06 13,2018/03/27 18:04:30,낙찰하한선 미달,
,4178141004,(주)수중생태기술연구소,황성일,54,878,000,87.707,10 03,2018/03/26 17:06:26,낙찰하한선 미달,
